time_s,ax,ay,az,gx,gy,gz,mx,my,mz
4.024853,1.503840,0.465255,9.948931,-1.403809,-0.061035,-15.380859,16.544131,22.727205,-68.718222
4.041926,1.460743,0.451704,9.824286,-1.281738,0.061035,-12.023926,16.310530,22.957799,-68.029177
4.059017,1.204433,0.621092,9.851482,-1.403809,-0.793457,-14.282227,15.609725,21.343641,-69.177585
4.075648,1.213506,0.528493,9.899073,-1.647949,-0.610352,-16.967773,16.076928,22.266017,-68.258859
4.092274,1.685299,0.523976,9.885476,-1.586914,0.427246,-17.761230,15.609725,23.649580,-70.096311
4.108698,1.290626,0.514942,9.713239,-1.892090,0.061035,-16.296387,15.376124,24.802550,-70.325992
4.125645,1.487962,0.551078,9.742701,-1.464844,0.549316,-14.343262,13.273710,23.188393,-70.096311
4.142765,1.485694,0.512684,9.672446,-1.281738,0.061035,-12.390137,13.040108,24.341362,-68.029177
4.159892,1.283821,0.560112,9.919470,-1.220703,-0.488281,-13.244629,15.843327,24.802550,-68.488540
4.176574,1.297430,0.659487,9.697375,-1.464844,-0.366211,-15.319824,14.675319,22.266017,-69.177585
4.193624,1.438061,0.625609,9.756298,-1.708984,0.610352,-16.418457,14.208116,23.649580,-68.718222
4.210686,1.351868,0.564629,9.552334,-1.953125,-0.732422,-17.883301,15.843327,22.035423,-69.407266
4.227608,1.730663,0.386207,9.835618,-1.647949,0.854492,-16.601562,16.544131,24.110768,-68.258859
4.244694,1.115972,0.496874,9.656582,-1.464844,-0.488281,-15.380859,16.310530,22.957799,-69.866629
4.261693,1.617251,0.467513,9.878677,-1.586914,1.831055,-15.197754,14.675319,21.343641,-72.393126
4.278690,1.338259,0.514942,9.704174,-1.831055,-0.915527,-14.953613,15.142522,22.727205,-69.636948
4.295701,1.222579,0.636902,9.720038,-1.525879,-0.732422,-15.686035,14.675319,24.110768,-70.096311
4.311815,1.574155,0.460738,9.957996,-1.708984,-1.403809,-16.967773,14.208116,20.882454,-69.636948
4.328484,1.199896,0.544303,9.935334,-1.770020,-0.854492,-17.028809,15.609725,25.494332,-71.474400
4.345005,1.367746,0.388465,9.921736,-1.953125,0.183105,-18.615723,14.208116,21.804829,-69.636948
